Mimarisi;Ablasyon;Tuning Stratejisi;Eğitilebilir Parametre Sayısı (Milyon);Disk Alanı (MB)
MobileNetV3Small;NO_SYNTH;Progressive;1.09M;7.04 MB
EfficientNetV2B0;REMBG_ONLY;Progressive;6.25M;32.99 MB
EfficientNetV2B0;REMBG_ONLY;Standard;6.25M;118.46 MB
MobileNetV3Small;REMBG_ONLY;Standard;1.09M;21.06 MB
MobileNetV3Small;REMBG_ONLY;Progressive;1.09M;7.04 MB
EfficientNetV2B0;RANDBG;Standard;6.25M;118.46 MB
EfficientNetV2B0;RANDBG;Progressive;6.25M;32.99 MB
MobileNetV3Small;RANDBG;Standard;1.09M;21.06 MB
MobileNetV3Small;RANDBG;Progressive;1.09M;7.04 MB
EfficientNetV2B0;INDOOR;Standard;6.25M;118.46 MB
EfficientNetV2B0;INDOOR;Progressive;6.25M;32.99 MB
MobileNetV3Small;INDOOR;Standard;1.09M;21.06 MB
MobileNetV3Small;INDOOR;Progressive;1.09M;7.04 MB
EfficientNetV2B0;FULL;Standard;6.25M;118.46 MB
EfficientNetV2B0;FULL;Progressive;6.25M;32.99 MB
MobileNetV3Small;FULL;Standard;1.09M;21.06 MB
EfficientNetV2B0;NO_SYNTH;Progressive;6.25M;32.99 MB
MobileNetV3Small;FULL;Progressive;1.09M;7.04 MB
EfficientNetV2B0;STYLE_TRANSFER;Standard;6.25M;118.46 MB
EfficientNetV2B0;STYLE_TRANSFER;Progressive;6.25M;32.99 MB
EfficientNetV2B0;NO_SYNTH;Standard;6.25M;118.46 MB
MobileNetV3Small;NO_SYNTH;Standard;1.09M;21.06 MB
MobileNetV3Small;STYLE_TRANSFER;Standard;1.09M;21.06 MB
MobileNetV3Small;STYLE_TRANSFER;Progressive;1.09M;7.04 MB
EfficientNetV2B0;GAN;Standard;6.25M;118.46 MB
EfficientNetV2B0;GAN;Progressive;6.25M;32.99 MB
MobileNetV3Small;GAN;Standard;1.09M;21.06 MB
MobileNetV3Small;GAN;Progressive;1.09M;7.04 MB
EfficientNetV2B0;RATIO_1X;Standard;6.25M;118.46 MB
EfficientNetV2B0;RATIO_1X;Progressive;6.25M;32.99 MB
MobileNetV3Small;RATIO_1X;Standard;1.09M;21.06 MB
MobileNetV3Small;RATIO_1X;Progressive;1.09M;7.04 MB
EfficientNetV2B0;NO_SHIFT;Standard;6.25M;118.46 MB
EfficientNetV2B0;NO_SHIFT;Progressive;6.25M;32.99 MB
MobileNetV3Small;NO_SHIFT;Standard;1.09M;21.06 MB
MobileNetV3Small;NO_SHIFT;Progressive;1.09M;7.04 MB
EfficientNetV2B0;NO_ALPHA;Standard;6.25M;118.46 MB
EfficientNetV2B0;NO_ALPHA;Progressive;6.25M;32.99 MB
MobileNetV3Small;NO_ALPHA;Standard;1.09M;21.06 MB
MobileNetV3Small;NO_ALPHA;Progressive;1.09M;7.04 MB
